Vd Vg Vs Vb Lg t_FE  Ids Qg V_FE V_FE_delta  
0.05 0.146464646465 0 0 1e-07 1.5e-07 5.02811814377e-10 9.9154164842e-22 0 0
0.5 0.146464646465 0 0 1e-07 1.5e-07 6.07656941144e-10 8.63318244929e-22 0 0
0.05 0.151515151515 0 0 1e-07 1.5e-07 6.04161422214e-10 1.19125555795e-21 0 0
0.5 0.151515151515 0 0 1e-07 1.5e-07 7.30015665397e-10 1.03703685491e-21 0 0
0.05 0.156565656566 0 0 1e-07 1.5e-07 7.2595164419e-10 1.43118359619e-21 0 0
0.5 0.156565656566 0 0 1e-07 1.5e-07 8.77025349157e-10 1.24570036428e-21 0 0
0.05 0.161616161616 0 0 1e-07 1.5e-07 8.72310339184e-10 1.71941803439e-21 0 0
0.5 0.161616161616 0 0 1e-07 1.5e-07 1.05365786381e-09 1.49633332467e-21 0 0
0.05 0.166666666667 0 0 1e-07 1.5e-07 1.04820130112e-09 2.06567725737e-21 0 0
0.5 0.166666666667 0 0 1e-07 1.5e-07 1.26589031407e-09 1.79737019074e-21 0 0
0.05 0.171717171717 0 0 1e-07 1.5e-07 1.25959456903e-09 2.4816315178e-21 0 0
0.5 0.171717171717 0 0 1e-07 1.5e-07 1.52090935357e-09 2.15893735448e-21 0 0
0.05 0.176767676768 0 0 1e-07 1.5e-07 1.51367187594e-09 2.98129350096e-21 0 0
0.5 0.176767676768 0 0 1e-07 1.5e-07 1.82735748978e-09 2.59319117708e-21 0 0
0.05 0.181818181818 0 0 1e-07 1.5e-07 1.81907467812e-09 3.58148640552e-21 0 0
0.5 0.181818181818 0 0 1e-07 1.5e-07 2.19563020644e-09 3.1147229568e-21 0 0
0.05 0.186868686869 0 0 1e-07 1.5e-07 2.18620384714e-09 4.30240463573e-21 0 0
0.5 0.186868686869 0 0 1e-07 1.5e-07 2.63823466176e-09 3.74104381935e-21 0 0
0.05 0.191919191919 0 0 1e-07 1.5e-07 2.62758216035e-09 5.16828503187e-21 0 0
0.5 0.191919191919 0 0 1e-07 1.5e-07 3.17022311149e-09 4.49316492405e-21 0 0
0.05 0.19696969697 0 0 1e-07 1.5e-07 3.15829325789e-09 6.20820984213e-21 0 0
0.5 0.19696969697 0 0 1e-07 1.5e-07 3.80971716075e-09 5.3962911717e-21 0 0
0.05 0.20202020202 0 0 1e-07 1.5e-07 3.79651390517e-09 7.4570664568e-21 0 0
0.5 0.20202020202 0 0 1e-07 1.5e-07 4.57854262164e-09 6.4806498257e-21 0 0
0.05 0.207070707071 0 0 1e-07 1.5e-07 4.56416035978e-09 8.95669330202e-21 0 0
0.5 0.207070707071 0 0 1e-07 1.5e-07 5.50299932521e-09 7.78247914247e-21 0 0
0.05 0.212121212121 0 0 1e-07 1.5e-07 5.48767460014e-09 1.07572462632e-20 0 0
0.5 0.212121212121 0 0 1e-07 1.5e-07 6.61479594022e-09 9.34520626197e-21 0 0
0.05 0.217171717172 0 0 1e-07 1.5e-07 6.59898239133e-09 1.29188255746e-20 0 0
0.5 0.217171717172 0 0 1e-07 1.5e-07 7.95218697097e-09 1.12208482096e-20 0 0
0.05 0.222222222222 0 0 1e-07 1.5e-07 7.9366629528e-09 1.55134092203e-20 0 0
0.5 0.222222222222 0 0 1e-07 1.5e-07 9.56135799008e-09 1.34716748309e-20 0 0
0.05 0.227272727273 0 0 1e-07 1.5e-07 9.54737970792e-09 1.86271453928e-20 0 0
0.5 0.227272727273 0 0 1e-07 1.5e-07 1.14981162152e-08 1.61721776595e-20 0 0
0.05 0.232323232323 0 0 1e-07 1.5e-07 1.1487633644e-08 2.23630631972e-20 0 0
0.5 0.232323232323 0 0 1e-07 1.5e-07 1.38299571981e-08 1.94113937933e-20 0 0
0.05 0.237373737374 0 0 1e-07 1.5e-07 1.38259155712e-08 2.68442670973e-20 0 0
0.5 0.237373737374 0 0 1e-07 1.5e-07 1.66385951237e-08 2.32956383525e-20 0 0
0.05 0.242424242424 0 0 1e-07 1.5e-07 1.66453513406e-08 3.22176858439e-20 0 0
0.5 0.242424242424 0 0 1e-07 1.5e-07 2.00230643508e-08 2.79517021935e-20 0 0
0.05 0.247474747475 0 0 1e-07 1.5e-07 2.00469548716e-08 3.86584496474e-20 0 0
0.5 0.247474747475 0 0 1e-07 1.5e-07 2.41035234902e-08 3.35305720812e-20 0 0
0.05 0.252525252525 0 0 1e-07 1.5e-07 2.41536271465e-08 4.63749684736e-20 0 0
0.5 0.252525252525 0 0 1e-07 1.5e-07 2.90259200626e-08 4.0211726663e-20 0 0
0.05 0.257575757576 0 0 1e-07 1.5e-07 2.91150636256e-08 5.56147771043e-20 0 0
0.5 0.257575757576 0 0 1e-07 1.5e-07 3.49677022213e-08 4.82080507955e-20 0 0
0.05 0.262626262626 0 0 1e-07 1.5e-07 3.51137546819e-08 6.66711956767e-20 0 0
0.5 0.262626262626 0 0 1e-07 1.5e-07 4.21447911475e-08 5.77713894869e-20 0 0
0.05 0.267676767677 0 0 1e-07 1.5e-07 4.2372277948e-08 7.9890823313e-20 0 0
0.5 0.267676767677 0 0 1e-07 1.5e-07 5.08200480664e-08 6.91987262165e-20 0 0
0.05 0.272727272727 0 0 1e-07 1.5e-07 5.11620786482e-08 9.56818317035e-20 0 0
0.5 0.272727272727 0 0 1e-07 1.5e-07 6.13134744207e-08 8.28389127187e-20 0 0
0.05 0.277777777778 0 0 1e-07 1.5e-07 6.18139001117e-08 1.14522948725e-19 0 0
0.5 0.277777777778 0 0 1e-07 1.5e-07 7.40143592592e-08 9.9099791642e-20 0 0
0.05 0.282828282828 0 0 1e-07 1.5e-07 7.47299426264e-08 1.36972913206e-19 0 0
0.5 0.282828282828 0 0 1e-07 1.5e-07 8.9395516157e-08 1.18455432922e-19 0 0
0.05 0.287878787879 0 0 1e-07 1.5e-07 9.03976709897e-08 1.63680036519e-19 0 0
0.5 0.287878787879 0 0 1e-07 1.5e-07 1.08029611025e-07 1.41453044441e-19 0 0
0.05 0.292929292929 0 0 1e-07 1.5e-07 1.0940493467e-07 1.95391325838e-19 0 0
0.5 0.292929292929 0 0 1e-07 1.5e-07 1.30607349553e-07 1.68718918242e-19 0 0
0.05 0.29797979798 0 0 1e-07 1.5e-07 1.3245569027e-07 2.32960418498e-19 0 0
0.5 0.29797979798 0 0 1e-07 1.5e-07 1.57956953075e-07 2.00962546833e-19 0 0
0.05 0.30303030303 0 0 1e-07 1.5e-07 1.60385122116e-07 2.77353373609e-19 0 0
0.5 0.30303030303 0 0 1e-07 1.5e-07 1.91063906537e-07 2.38977818859e-19 0 0
0.05 0.308080808081 0 0 1e-07 1.5e-07 1.94172374343e-07 3.29651212956e-19 0 0
0.5 0.308080808081 0 0 1e-07 1.5e-07 2.31089446585e-07 2.83640032153e-19 0 0
0.05 0.313131313131 0 0 1e-07 1.5e-07 2.34948516072e-07 3.91048066354e-19 0 0
0.5 0.313131313131 0 0 1e-07 1.5e-07 2.79385751364e-07 3.35897421983e-19 0 0
0.05 0.318181818182 0 0 1e-07 1.5e-07 2.83996896019e-07 4.62843936261e-19 0 0
0.5 0.318181818182 0 0 1e-07 1.5e-07 3.37505425533e-07 3.96756086348e-19 0 0
0.05 0.323232323232 0 0 1e-07 1.5e-07 3.42742885968e-07 5.46431519396e-19 0 0
0.5 0.323232323232 0 0 1e-07 1.5e-07 4.07202807345e-07 4.67257682033e-19 0 0
0.05 0.328282828283 0 0 1e-07 1.5e-07 4.12730355311e-07 6.43277224233e-19 0 0
0.5 0.328282828283 0 0 1e-07 1.5e-07 4.90425014604e-07 5.48450098481e-19 0 0
0.05 0.333333333333 0 0 1e-07 1.5e-07 4.95583198609e-07 7.54897423333e-19 0 0
0.5 0.333333333333 0 0 1e-07 1.5e-07 5.89291575268e-07 6.4135242752e-19 0 0
0.05 0.338383838384 0 0 1e-07 1.5e-07 5.92951867108e-07 8.82831880439e-19 0 0
0.5 0.338383838384 0 0 1e-07 1.5e-07 7.06062898275e-07 7.46916746455e-19 0 0
0.05 0.343434343434 0 0 1e-07 1.5e-07 7.06446972958e-07 1.02861690158e-18 0 0
0.5 0.343434343434 0 0 1e-07 1.5e-07 8.43099497056e-07 8.65990224245e-19 0 0
0.05 0.348484848485 0 0 1e-07 1.5e-07 8.37564319804e-07 1.19376077823e-18 0 0
0.5 0.348484848485 0 0 1e-07 1.5e-07 1.00281540665e-06 9.99281525342e-19 0 0
0.05 0.353535353535 0 0 1e-07 1.5e-07 9.87607757181e-07 1.37972334992e-18 0 0
0.5 0.353535353535 0 0 1e-07 1.5e-07 1.18763022875e-06 1.14733520339e-18 0 0
0.05 0.358585858586 0 0 1e-07 1.5e-07 1.15761766831e-06 1.58790010038e-18 0 0
0.5 0.358585858586 0 0 1e-07 1.5e-07 1.39992441054e-06 1.31051673848e-18 0 0
0.05 0.363636363636 0 0 1e-07 1.5e-07 1.34831338043e-06 1.81960950442e-18 0 0
0.5 0.363636363636 0 0 1e-07 1.5e-07 1.64200166588e-06 1.48900930949e-18 0 0
0.05 0.368686868687 0 0 1e-07 1.5e-07 1.56005713007e-06 2.07608096274e-18 0 0
0.5 0.368686868687 0 0 1e-07 1.5e-07 1.91606109566e-06 1.68282170403e-18 0 0
0.05 0.373737373737 0 0 1e-07 1.5e-07 1.79284529801e-06 2.35844020832e-18 0 0
0.5 0.373737373737 0 0 1e-07 1.5e-07 2.22417994288e-06 1.89180536229e-18 0 0
0.05 0.378787878788 0 0 1e-07 1.5e-07 2.04632944935e-06 2.66768988972e-18 0 0
0.5 0.378787878788 0 0 1e-07 1.5e-07 2.56830643109e-06 2.11567770522e-18 0 0
0.05 0.383838383838 0 0 1e-07 1.5e-07 2.31986554924e-06 3.00468502268e-18 0 0
0.5 0.383838383838 0 0 1e-07 1.5e-07 2.95026106722e-06 2.35404868587e-18 0 0
