Vd Vg Vs Vb Id Lg Ig  
-0.5 -0.326 0.0 0.0 -5.5193E-006 70e-9 -7.13E-012 
-0.5 -0.312 0.0 0.0 -3.7589E-006 70e-9 -4.04E-012 
-0.5 -0.298 0.0 0.0 -2.5345E-006 70e-9 -1.34E-012 
-0.5 -0.284 0.0 0.0 -0.000001691 70e-9 1.66E-012 
-0.5 -0.27 0.0 0.0 -1.1282E-006 70e-9 3.69E-012 
-0.5 -0.256 0.0 0.0 -6.8118E-007 70e-9 -5.93E-012 
-0.5 -0.242 0.0 0.0 -4.3908E-007 70e-9 -8.61E-012 
-0.5 -0.228 0.0 0.0 -2.8362E-007 70e-9 -1.033E-011 
-0.5 -0.214 0.0 0.0 -1.834E-007 70e-9 -8.79E-012 
-0.5 -0.2 0.0 0.0 -1.2254E-007 70e-9 -7.78E-012 
-0.5 -0.186 0.0 0.0 -8.15678E-008 70e-9 7.33E-012 
-0.5 -0.172 0.0 0.0 -5.21444E-008 70e-9 -2.42E-012 
